time,mouseX,mouseY,mouseClickAmount,uuid,uuidType,fps,drawCalls,entities,pointAmount,linesAmount,polyAmount,pointsAmount,voronoiTime,delaunayTime,M
0.553683,243,165,0,0,-1,580.187,0,0,0,0,0,0,0,0,0
0.555449,243,165,0,0,-1,601.608,0,0,0,0,0,0,0,0,0
0.557043,243,165,0,0,-1,587.824,0,0,0,0,0,0,0,0,0
0.558688,243,165,0,0,-1,601.287,0,0,0,0,0,0,0,0,0
0.56029,243,165,0,0,-1,645.828,0,0,0,0,0,0,0,0,0
0.561931,243,165,0,0,-1,613.411,0,0,0,0,0,0,0,0,0
0.563425,243,165,0,0,-1,645.143,0,0,0,0,0,0,0,0,0
0.565253,243,165,0,0,-1,575.819,0,0,0,0,0,0,0,0,0
0.566642,243,165,0,0,-1,659.578,0,0,0,0,0,0,0,0,0
0.568534,243,165,0,0,-1,587.1,0,0,0,0,0,0,0,0,0
0.570006,243,165,0,0,-1,601.254,0,0,0,0,0,0,0,0,0
0.571658,243,165,0,0,-1,620.279,0,0,0,0,0,0,0,0,0
0.573256,243,165,0,0,-1,633.69,0,0,0,0,0,0,0,0,0
0.575009,243,165,0,0,-1,582.522,0,0,0,0,0,0,0,0,0
0.576564,243,165,0,0,-1,611.752,0,0,0,0,0,0,0,0,0
0.578424,243,165,0,0,-1,593.362,0,0,0,0,0,0,0,0,0
0.580044,243,165,0,0,-1,577.256,0,0,0,0,0,0,0,0,0
0.581721,243,165,0,0,-1,582.787,0,0,0,0,0,0,0,0,0
0.583469,243,165,0,0,-1,608.28,0,0,0,0,0,0,0,0,0
0.585191,243,165,0,0,-1,565.673,0,0,0,0,0,0,0,0,0
0.586872,243,165,0,0,-1,556.8,0,0,0,0,0,0,0,0,0
0.58853,243,165,0,0,-1,646.831,0,0,0,0,0,0,0,0,0
0.590333,243,165,0,0,-1,576.547,0,0,0,0,0,0,0,0,0
0.59191,243,165,0,0,-1,609.59,0,0,0,0,0,0,0,0,0
0.593592,243,165,0,0,-1,574.931,0,0,0,0,0,0,0,0,0
0.595383,243,165,0,0,-1,586.099,0,0,0,0,0,0,0,0,0
0.597124,243,165,0,0,-1,566.26,0,0,0,0,0,0,0,0,0
0.598688,243,165,0,0,-1,604.186,0,0,0,0,0,0,0,0,0
0.600525,243,165,0,0,-1,582.648,0,0,0,0,0,0,0,0,0
0.602165,243,165,0,0,-1,597.04,0,0,0,0,0,0,0,0,0
0.603825,243,165,0,0,-1,586.721,0,0,0,0,0,0,0,0,0
0.605565,243,165,0,0,-1,564.511,0,0,0,0,0,0,0,0,0
0.607225,243,165,0,0,-1,612.154,0,0,0,0,0,0,0,0,0
0.608923,243,165,0,0,-1,614,0,0,0,0,0,0,0,0,0
0.610601,243,165,0,0,-1,565.134,0,0,0,0,0,0,0,0,0
0.612408,243,165,0,0,-1,591.997,0,0,0,0,0,0,0,0,0
0.61405,243,165,0,0,-1,577.701,0,0,0,0,0,0,0,0,0
0.615733,243,165,0,0,-1,593.457,0,0,0,0,0,0,0,0,0
0.617512,243,165,0,0,-1,583.367,0,0,0,0,0,0,0,0,0
0.619135,243,165,0,0,-1,583.138,0,0,0,0,0,0,0,0,0
0.620794,243,165,0,0,-1,602.8,0,0,0,0,0,0,0,0,0
0.622474,243,165,0,0,-1,593.176,0,0,0,0,0,0,0,0,0
0.624313,243,165,0,0,-1,572.686,0,0,0,0,0,0,0,0,0
0.625899,243,165,0,0,-1,614.783,0,0,0,0,0,0,0,0,0
0.627534,243,165,0,0,-1,609.019,0,0,0,0,0,0,0,0,0
0.629302,243,165,0,0,-1,583.969,0,0,0,0,0,0,0,0,0
0.630892,243,165,0,0,-1,596.38,0,0,0,0,0,0,0,0,0
0.632586,243,165,0,0,-1,582.005,0,0,0,0,0,0,0,0,0
0.63436,243,165,0,0,-1,602.58,0,0,0,0,0,0,0,0,0
0.636086,243,165,0,0,-1,586.009,0,0,0,0,0,0,0,0,0
0.637644,243,165,0,0,-1,596.148,0,0,0,0,0,0,0,0,0
0.639463,243,165,0,0,-1,581.492,0,0,0,0,0,0,0,0,0
0.641126,243,165,0,0,-1,582.706,0,0,0,0,0,0,0,0,0
0.64277,243,165,0,0,-1,588.127,0,0,0,0,0,0,0,0,0
0.644574,243,165,0,0,-1,605.316,0,0,0,0,0,0,0,0,0
0.646405,243,165,0,0,-1,565.054,0,0,0,0,0,0,0,0,0
0.648223,243,165,0,0,-1,548.12,0,0,0,0,0,0,0,0,0
0.649783,243,165,0,0,-1,585.064,0,0,0,0,0,0,0,0,0
0.651536,243,165,0,0,-1,599.17,0,0,0,0,0,0,0,0,0
0.653222,243,165,0,0,-1,595.141,0,0,0,0,0,0,0,0,0
0.654766,243,165,0,0,-1,603.925,0,0,0,0,0,0,0,0,0
0.656548,243,165,0,0,-1,599.725,0,0,0,0,0,0,0,0,0
0.658142,243,165,0,0,-1,609.773,0,0,0,0,0,0,0,0,0
0.659754,243,165,0,0,-1,595.649,0,0,0,0,0,0,0,0,0
